"행정구역별(읍면동)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"용인시",1064500,529758,534742,1038310,515469,522841,26190,14289,11901,409539,401300,314,7925,359166,31183,278899,11473,35844,1767,17641
"처인구",268863,139323,129540,255203,130762,124441,13660,8561,5099,109391,105181,166,4044,93448,19754,41556,6107,24768,1263,5418
"기흥구",431163,212735,218428,423780,209154,214626,7383,3581,3802,164731,162281,97,2353,144103,7534,124479,3486,8276,328,6107
"수지구",364474,177700,186774,359327,175553,183774,5147,2147,3000,135417,133838,51,1528,121615,3895,112864,1880,2800,176,6116
"파주시",490765,251118,239647,474681,240058,234623,16084,11060,5024,194107,189856,214,4037,177997,26540,127094,4035,19004,1324,9696
"이천시",227193,118763,108430,216701,112685,104016,10492,6078,4414,91490,88663,141,2686,81410,22984,41678,3701,11789,1258,4793
"안성시",208619,109080,99539,188399,96757,91642,20220,12323,7897,89098,82267,175,6656,77533,21687,47432,2751,4747,916,3787
"김포시",491249,251461,239788,463576,231153,232423,27673,20308,7365,192930,185175,110,7645,169085,13595,140190,5531,8838,931,16800
"화성시",931472,492101,439371,874739,453153,421586,56733,38948,17785,373006,356542,351,16113,327093,33073,268451,4911,18693,1965,29898
"광주시",392926,202013,190913,376752,191511,185241,16174,10502,5672,157358,152615,89,4654,136376,16685,54275,4270,60013,1133,4427
"양주시",242995,124291,118704,233001,117207,115794,9994,7084,2910,96012,93648,188,2176,94956,10891,73315,1826,7962,962,3785
"포천시",163542,89523,74019,146061,76485,69576,17481,13038,4443,71480,67222,199,4059,56767,20986,21309,2656,10685,1131,5906
"여주시",113831,58240,55591,108910,55279,53631,4921,2961,1960,48131,46944,98,1089,44704,21390,15894,1552,4910,958,2236
"연천군",41288,21840,19448,40026,20944,19082,1262,896,366,18775,18427,35,313,17246,8982,5303,1194,1352,415,941
"가평군",59755,30570,29185,58282,29930,28352,1473,640,833,27211,26772,50,389,27601,15261,5616,2170,3698,856,1321
"양평군",116950,58451,58499,114701,57529,57172,2249,922,1327,51195,50538,88,569,49733,33509,8434,1729,5135,926,2270
"강원도",1528037,770518,757519,1500404,755752,744652,27633,14766,12867,693576,684895,671,8010,665631,239749,379372,21816,13000,11694,18849
"읍부",248739,127067,121672,243842,124320,119522,4897,2747,2150,111396,110014,139,1243,112916,48603,50425,6472,4602,2814,3358
"면부",353622,183248,170374,344384,177887,166497,9238,5361,3877,165607,163035,271,2301,171099,116215,44549,3674,3023,3638,6536
"동부",925676,460203,465473,912178,453545,458633,13498,6658,6840,416573,411846,261,4466,381616,74931,284398,11670,5375,5242,8955
"춘천시",293124,144265,148859,287582,141442,146140,5542,2823,2719,127850,126016,103,1731,108577,27216,76796,1793,1415,1357,2823
"원주시",361810,180022,181788,356429,177294,179135,5381,2728,2653,161029,159208,118,1703,146861,30443,112456,1240,1213,1509,3954
"강릉시",215128,107563,107565,211586,105718,105868,3542,1845,1697,98998,97663,113,1222,89894,29786,53542,3261,1486,1819,2445
"동해시",86772,44153,42619,85688,43537,42151,1084,616,468,39333,39024,23,286,42187,10377,28310,1654,1158,688,669
"태백시",39113,19680,19433,38720,19566,19154,393,114,279,18663,18543,23,97,20424,5817,11509,2525,162,411,424
"속초시",80903,40449,40454,79316,39492,39824,1587,957,630,37920,37502,21,397,39599,8284,28480,1674,539,622,971
"삼척시",64289,33295,30994,63328,32723,30605,961,572,389,29950,29676,31,243,31568,13278,15151,1601,933,605,669
"홍천군",65215,33446,31769,63868,32718,31150,1347,728,619,30410,30034,47,329,30863,19632,8230,1547,763,691,1038
"횡성군",44864,22926,21938,43551,22167,21384,1313,759,554,20615,20247,31,337,21193,15217,4736,378,493,369,874
"영월군",35654,18364,17290,35251,18207,17044,403,157,246,17680,17555,20,105,18191,11492,4737,736,817,409,590
"평창군",38699,19891,18808,37902,19531,18371,797,360,437,18962,18704,24,234,22390,12985,5753,1975,1168,509,804
"정선군",33354,17386,15968,32940,17265,15675,414,121,293,16330,16202,25,103,17319,10193,5749,408,512,457,614
"철원군",41145,21372,19773,40067,20745,19322,1078,627,451,17288,17007,17,264,17153,9234,5368,997,1084,470,749
"화천군",22545,12130,10415,22200,11964,10236,345,166,179,10120,10007,14,99,10024,5969,3077,478,257,243,441
"양구군",20824,10970,9854,20266,10628,9638,558,342,216,8957,8822,10,125,8407,4943,2670,348,174,272,324
"인제군",30905,16830,14075,30188,16435,13753,717,395,322,13706,13509,17,180,13307,7738,4229,546,354,440,459
"고성군",27127,14275,12852,25410,13054,12356,1717,1221,496,12757,12309,20,428,13164,9011,3478,153,152,370,521
"양양군",26566,13501,13065,26112,13266,12846,454,235,219,13008,12867,14,127,14510,8134,5101,502,320,453,480
"충청북도",1624993,830923,794070,1563376,793399,769977,61617,37524,24093,724108,704864,772,18472,659293,211378,400844,16052,20996,10023,21091
"읍부",352386,183994,168392,334649,172931,161718,17737,11063,6674,154322,148867,199,5256,142436,40534,87676,5277,6747,2202,5903
"면부",332614,175973,156641,310936,160687,150249,21678,15286,6392,157114,151719,309,5086,159789,109235,40245,2949,5130,2230,7772
"동부",939993,470956,469037,917791,459781,458010,22202,11175,11027,412672,404278,264,8130,357068,61609,272923,7826,9119,5591,7416
"충주시",215783,110283,105500,208452,105841,102611,7331,4442,2889,98388,96130,104,2154,94262,30178,54300,3079,5066,1639,2074
"제천시",130436,65535,64901,128225,64450,63775,2211,1085,1126,59552,58927,63,562,58306,21379,32675,1898,995,1359,1306
"청주시",858500,433506,424994,836671,421871,414800,21829,11635,10194,373835,365883,255,7697,314788,62800,236890,4812,6264,4022,9770
"상당구",191510,95219,96291,189851,94555,95296,1659,664,995,79958,79442,61,455,75363,16436,54821,1383,1799,924,1081
"서원구",194132,96581,97551,188953,93957,94996,5179,2624,2555,86571,84616,54,1901,75341,13965,57808,1238,1203,1127,1677
"흥덕구",274114,139308,134806,265102,134398,130704,9012,4910,4102,120777,117269,70,3438,94445,17537,72924,1024,2043,917,4652
"청원구",198744,102398,96346,192765,98961,93804,5979,3437,2542,86529,84556,70,1903,69639,14862,51337,1167,1219,1054,2360
"보은군",30636,15439,15197,29882,15055,14827,754,384,370,14826,14640,22,164,15938,11844,3198,305,294,297,602
"옥천군",48013,24178,23835,46976,23547,23429,1037,631,406,21713,21462,28,223,22460,14163,6223,536,1111,427,828
"영동군",43813,21860,21953,42614,21183,21431,1199,677,522,20905,20557,41,307,21473,15167,4360,926,680,340,733
"진천군",93174,50523,42651,83302,43890,39412,9872,6633,3239,40701,37664,66,2971,40226,11078,23850,1652,3196,450,1434
"괴산군",37830,19750,18080,36419,18802,17617,1411,948,463,18359,18083,32,244,17343,14717,1516,280,515,315,835
"음성군",102564,56916,45648,88295,46735,41560,14269,10181,4088,45696,41958,128,3610,43827,16411,23438,1119,2286,573,2706
"단양군",26466,13377,13089,26169,13248,12921,297,129,168,13037,12950,13,74,13916,9523,2780,973,313,327,391
"증평군",37778,19556,18222,36371,18777,17594,1407,779,628,17096,16610,20,466,16754,4118,11614,472,276,274,412
"충청남도",2193214,1128115,1065099,2084595,1064010,1020585,108619,64105,44514,966019,931370,1134,33515,894935,307013,510531,23929,42135,11327,39521
